CommitteeName|CommitteeType|Link|Header|Chair|CoChair|ViceChair|CommitteeClerk|LegislativeCouncilStaff|Members|OtherMembers|Hearings
Senate Committee on Agriculture, Small Business and Tourism|Senate|http://docs.legis.wisconsin.gov/document/committee/2015/1365|2015 Senate Committee on Agriculture, Small Business and Tourism|Senator Moulton||Senator Tiffany; Senator Tiffany|Scott Nelson|Zach Ramirez; Larry Konopacki|Senator Harsdorf; Senator Petrowski; Senator LeMahieu; Senator Vinehout; Senator Erpenbach; Senator Hansen; Senator L. Taylor||3/14/2016 9:31 AM - Executive Session ; 3/14/2016 9:30 AM - Public Hearing ; 3/2/2016 10:31 AM - Executive Session ; 3/2/2016 10:30 AM - Public Hearing ; 2/10/2016 10:31 AM - Executive Session ; 2/10/2016 10:30 AM - Public Hearing ; 1/14/2016 10:30 AM - Executive Session (Cancelled); 1/13/2016 11:02 AM - Executive Session ; 1/13/2016 11:01 AM - Public Hearing ; 1/13/2016 11:00 AM - Public Hearing ; 1/6/2016 11:01 AM - Executive Session ; 1/6/2016 11:00 AM - Public Hearing ; 10/7/2015 2:31 PM - Executive Session ; 10/7/2015 2:30 PM - Public Hearing ; 9/2/2015 10:01 AM - Executive Session ; 9/2/2015 10:00 AM - Public Hearing ; 6/3/2015 11:01 AM - Executive Session (Revised); 6/3/2015 11:00 AM - Public Hearing (Revised); 3/11/2015 11:01 AM - Executive Session (Revised); 3/11/2015 11:00 AM - Public Hearing (Revised); 1/21/2015 11:31 AM - Executive Session ; 1/21/2015 11:30 AM - Public Hearing
Assembly Speaker's Task Force on Alzheimer's and Dementia|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1484|2015 Assembly Speaker's Task Force on Alzheimer's and Dementia Committee website|Representative Rohrkaste||Representative Hesselbein; Representative Hesselbein|Tyler Clark|Steven McCarthy; Mary Matthias|Representative Bernier; Representative Jagler; Representative Katsma; Representative Novak; Representative Czaja; Representative Tittl; Representative Meyers; Representative Brostoff; Representative Kolste||12/9/2015 12:00 PM - Public Hearing ; 12/3/2015 12:30 PM - Public Hearing (Revised); 12/3/2015 10:30 AM - Public Hearing ; 11/18/2015 12:30 PM - Public Hearing (Revised); 11/18/2015 10:00 AM - Public Hearing ; 11/10/2015 12:00 PM - Public Hearing ; 11/10/2015 10:00 AM - Public Hearing ; 10/6/2015 12:30 PM - Public Hearing ; 10/6/2015 10:00 AM - Public Hearing ; 9/16/2015 12:00 PM - Public Hearing
Assembly Committee on Veterans and Military Affairs|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1474|2015 Assembly Committee on Veterans and Military Affairs|Representative Skowronski||Representative VanderMeer; Representative VanderMeer|Justin Phillips|David Moore; Steven McCarthy|Representative Weatherston; Representative Petryk; Representative Allen; Representative Edming; Representative Nerison; Representative Heaton; Representative J. Ott; Representative Tittl; Representative Hesselbein; Representative Milroy; Representative Sinicki; Representative Goyke; Representative Riemer||2/4/2016 9:31 AM - Executive Session ; 2/4/2016 9:30 AM - Public Hearing ; 1/21/2016 9:01 AM - Public Hearing (Revised); 1/21/2016 9:00 AM - Executive Session (Revised); 12/10/2015 10:00 AM - Public Hearing ; 3/19/2015 10:00 AM - Public Hearing
Assembly Speaker's Task Force on Youth Workforce Readiness|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1483|2015 Assembly Speaker's Task Force on Youth Workforce Readiness Committee website|Representative Kulp||Representative Shankland; Representative Shankland|James Emerson|Zach Ramirez; Anna Henning|Representative Ballweg; Representative Loudenbeck; Representative Jacque; Representative Petryk; Representative Spiros; Representative Swearingen; Representative Mason; Representative Barnes; Representative Spreitzer||3/29/2016 10:00 AM - Public Hearing ; 1/28/2016 10:00 AM - Public Hearing ; 11/6/2015 11:00 AM - Public Hearing ; 9/29/2015 11:00 AM - Public Hearing ; 9/10/2015 9:00 AM - Public Hearing
Assembly Speaker's Task Force on Urban Education|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1485|2015 Assembly Speaker's Task Force on Urban Education Committee website|Representative Rodriguez||Representative Pope; Representative Pope|Vincent Williams|Rachel Snyder; Katie Bender-Olson|Representative Kuglitsch; Representative Thiesfeldt; Representative Weatherston; Representative Czaja; Representative Allen; Representative Heaton; Representative Macco; Representative Sinicki; Representative Billings; Representative Genrich; Representative Bowen||3/1/2016 1:00 PM - Public Hearing ; 3/1/2016 9:30 AM - Public Hearing ; 2/2/2016 1:00 PM - Public Hearing (Cancelled); 2/2/2016 9:30 AM - Public Hearing (Cancelled); 1/26/2016 1:00 PM - Public Hearing ; 1/26/2016 9:00 AM - Public Hearing ; 11/17/2015 1:00 PM - Public Hearing ; 11/17/2015 9:00 AM - Public Hearing ; 10/13/2015 2:00 PM - Public Hearing ; 10/13/2015 10:00 AM - Public Hearing ; 9/29/2015 1:00 PM - Public Hearing ; 9/29/2015 9:00 AM - Public Hearing
Assembly Committee on Mental Health Reform|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1471|2015 Assembly Committee on Mental Health Reform|Representative Tittl||Representative Jagler; Representative Jagler|Steve Hall|Mary Matthias; Steven McCarthy|Representative Ballweg; Representative Novak; Representative Sanfelippo; Representative Rohrkaste; Representative VanderMeer; Representative Rodriguez; Representative Considine; Representative Riemer; Representative Sargent; Representative Brostoff||9/27/2016 10:45 AM - Committee Meeting ; 2/1/2016 11:00 AM - Executive Session ; 1/25/2016 9:00 AM - Public Hearing ; 1/13/2016 11:30 AM - Public Hearing ; 12/8/2015 10:02 AM - Public Hearing ; 12/8/2015 10:01 AM - Executive Session ; 12/8/2015 10:00 AM - Public Hearing ; 4/21/2015 10:00 AM - Public Hearing ; 3/10/2015 10:00 AM - Public Hearing
Assembly Committee on Public Benefit Reform|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1472|2015 Assembly Committee on Public Benefit Reform|Representative Born||Representative Duchow; Representative Duchow|John Cronin|Margit Kelley; Brian Larson|Representative Brandtjen; Representative Vorpagel; Representative Schraa; Representative Kremer; Representative Craig; Representative Neylon; Representative Krug; Representative Tauchen; Representative Jorgensen; Representative Goyke; Representative Kolste; Representative Spreitzer; Representative Subeck||2/2/2016 10:00 AM - Executive Session ; 1/21/2016 10:00 AM - Public Hearing ; 11/10/2015 1:00 PM - Public Hearing ; 10/13/2015 10:00 AM - Executive Session ; 9/29/2015 1:01 PM - Public Hearing ; 9/29/2015 1:00 PM - Executive Session ; 9/15/2015 11:00 AM - Executive Session ; 9/1/2015 11:00 AM - Public Hearing ; 8/18/2015 10:00 AM - Public Hearing ; 5/6/2015 3:00 PM - Executive Session ; 4/30/2015 10:00 AM - Public Hearing ; 2/17/2015 12:00 PM - Public Hearing (Revised)
Assembly Committee on Mining and Rural Development|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1473|2015 Assembly Committee on Mining and Rural Development|Representative Kulp||Representative Mursau; Representative Mursau|James Emerson|Rachel Letzing; Larry Konopacki|Representative Bernier; Representative Novak; Representative Quinn; Representative VanderMeer; Representative E. Brooks; Representative Krug; Representative T. Larson; Representative Kremer; Representative Milroy; Representative Danou; Representative Billings; Representative Considine; Representative Spreitzer||2/10/2016 1:00 PM - Executive Session ; 2/4/2016 10:00 AM - Public Hearing ; 2/19/2015 10:00 AM - Public Hearing
Assembly Committee on Interstate Affairs|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1469|2015 Assembly Committee on Interstate Affairs|Representative Jacque||Representative Billings; Representative Billings||Michael Queensland; David Moore|Representative Rohrkaste; Representative E. Brooks; Representative Kerkman; Representative A. Ott; Representative Horlacher; Representative Young; Representative Zepnick||2/10/2015 11:15 AM - Executive Session ; 2/4/2015 10:00 AM - Public Hearing
Assembly Committee on Jobs and the Economy|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1470|2015 Assembly Committee on Jobs and the Economy|Representative Neylon||Representative Krug; Representative Krug|Joe Zapf|Anna Henning; Scott Grosz|Representative Tauchen; Representative Allen; Representative Kulp; Representative Tittl; Representative Kuglitsch; Representative Macco; Representative Rohrkaste; Representative Steffen; Representative Ohnstad; Representative Zamarripa; Representative Barnes; Representative Spreitzer; Representative Stuck||2/10/2016 9:00 AM - Executive Session (Revised); 2/4/2016 10:31 AM - Public Hearing (Revised); 2/4/2016 10:30 AM - Executive Session ; 2/2/2016 9:00 AM - Executive Session ; 1/27/2016 9:31 AM - Public Hearing (Revised); 1/27/2016 9:30 AM - Executive Session ; 1/13/2016 9:30 AM - Public Hearing (Revised); 10/29/2015 12:30 PM - Executive Session (Revised); 10/28/2015 9:30 AM - Public Hearing (Revised); 10/7/2015 10:00 AM - Public Hearing (Revised); 3/25/2015 9:30 AM - Public Hearing
Assembly Committee on Criminal Justice and Public Safety|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1468|2015 Assembly Committee on Criminal Justice and Public Safety|Representative Kleefisch||Representative Kremer; Representative Kremer|Katie Scott|Melissa Schmidt; Michael Queensland|Representative Spiros; Representative J. Ott; Representative Rodriguez; Representative Horlacher; Representative Novak; Representative Born; Representative Duchow; Representative Goyke; Representative Kessler; Representative Zamarripa; Representative Johnson||2/11/2016 9:30 AM - Executive Session (Revised); 2/11/2016 9:15 AM - Public Hearing (Revised); 1/28/2016 10:02 AM - Executive Session (Revised); 1/28/2016 10:01 AM - Public Hearing (Revised); 1/28/2016 10:00 AM - Executive Session (Revised); 1/14/2016 10:31 AM - Public Hearing (Revised); 1/14/2016 10:30 AM - Executive Session (Revised); 1/13/2016 1:31 PM - Public Hearing (Revised); 1/13/2016 1:30 PM - Executive Session (Revised); 11/5/2015 11:00 AM - Public Hearing (Revised); 10/8/2015 10:01 AM - Public Hearing (Revised); 10/8/2015 10:00 AM - Executive Session ; 9/9/2015 10:00 AM - Executive Session ; 8/11/2015 10:00 AM - Public Hearing (Revised); 6/2/2015 11:01 AM - Public Hearing ; 6/2/2015 11:00 AM - Executive Session ; 5/20/2015 12:00 PM - Public Hearing (Revised); 4/23/2015 10:31 AM - Executive Session ; 4/23/2015 10:30 AM - Public Hearing ; 2/26/2015 10:31 AM - Executive Session (Revised); 2/26/2015 10:30 AM - Public Hearing ; 2/10/2015 10:00 AM - Executive Session (Revised); 2/3/2015 10:00 AM - Public Hearing
Assembly Committee on Rules|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1449|2015 Assembly Committee on Rules|Representative Steineke|||Bob Karius||Representative Vos; Representative August; Representative Knodl; Representative Murtha; Representative Ballweg; Representative Kuglitsch; Representative Jagler; Representative Born; Representative Barca; Representative Shankland; Representative Jorgensen; Representative Zamarripa; Representative Pope; Representative Hebl||2/16/2016 3:00 PM - Executive Session ; 2/11/2016 11:30 AM - Executive Session ; 2/9/2016 3:00 PM - Executive Session ; 2/4/2016 2:30 PM - Executive Session ; 1/14/2016 2:30 PM - Executive Session ; 1/7/2016 2:30 PM - Executive Session ; 10/28/2015 3:30 PM - Executive Session ; 10/21/2015 2:00 PM - Executive Session ; 10/15/2015 3:30 PM - Executive Session ; 9/22/2015 2:00 PM - Executive Session ; 6/3/2015 2:00 PM - Executive Session ; 5/7/2015 2:30 PM - Executive Session ; 4/9/2015 3:00 PM - Executive Session ; 3/12/2015 2:00 PM - Executive Session ; 2/10/2015 3:00 PM - Executive Session ; 1/20/2015 3:00 PM - Executive Session
Assembly Committee on Assembly Organization|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1423|2015 Assembly Committee on Assembly Organization|Representative Vos||Representative Steineke; Representative Steineke|Bob Karius||Representative Knodl; Representative August; Representative Murtha; Representative Barca; Representative Shankland; Representative Jorgensen||
Assembly Committee on Audit|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1424|2015 Assembly Committee on Audit|Representative Kerkman||Representative Macco; Representative Macco|Tami Rongstad||Representative Nygren; Representative Sargent; Representative Berceau||
Assembly Committee on Employment Relations|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1434|2015 Assembly Committee on Employment Relations||Representative Vos||||Representative Steineke; Representative Nygren; Representative Barca||
Assembly Committee on Finance|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1436|2015 Assembly Committee on Finance|Representative Nygren||Representative Kooyenga; Representative Kooyenga|Joe Malkasian||Representative Knudson; Representative Loudenbeck; Representative Schraa; Representative Czaja; Representative C. Taylor; Representative Hintz||
Assembly Committee on Urban and Local Affairs|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1416|2015 Assembly Committee on Urban and Local Affairs|Representative E. Brooks||Representative Hutton; Representative Hutton|John Flynn|Melissa Schmidt; Steven McCarthy|Representative Novak; Representative Quinn; Representative Steffen; Representative Skowronski; Representative Genrich; Representative Young; Representative Subeck||2/11/2016 9:30 AM - Public Hearing ; 2/9/2016 9:30 AM - Executive Session ; 2/3/2016 10:31 AM - Executive Session (Revised); 2/3/2016 10:30 AM - Public Hearing (Revised); 1/20/2016 10:01 AM - Public Hearing ; 1/20/2016 10:00 AM - Executive Session ; 12/15/2015 9:30 AM - Public Hearing (Revised); 10/20/2015 9:00 AM - Executive Session ; 10/15/2015 11:00 AM - Public Hearing ; 9/22/2015 10:00 AM - Executive Session (Revised); 9/8/2015 10:01 AM - Committee Meeting ; 9/8/2015 10:00 AM - Public Hearing ; 6/16/2015 11:30 AM - Public Hearing ; 5/5/2015 11:00 AM - Executive Session ; 4/21/2015 10:01 AM - Public Hearing ; 4/21/2015 10:00 AM - Public Hearing ; 3/10/2015 10:00 AM - Public Hearing
Assembly Committee on Workforce Development|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1418|2015 Assembly Committee on Workforce Development|Representative Petryk||Representative Weatherston; Representative Weatherston||Steven McCarthy; Dan Schmidt|Representative Murphy; Representative Ripp; Representative Kuglitsch; Representative Katsma; Representative Kulp; Representative Bernier; Representative Brandtjen; Representative Kitchens; Representative Shankland; Representative Kolste; Representative Riemer; Representative Spreitzer; Representative Bowen||2/10/2016 9:01 AM - Executive Session (Revised); 2/10/2016 9:00 AM - Public Hearing (Revised); 2/3/2016 10:01 AM - Executive Session (Cancelled); 2/3/2016 10:00 AM - Public Hearing (Cancelled); 1/20/2016 9:31 AM - Executive Session ; 1/20/2016 9:30 AM - Public Hearing ; 12/15/2015 9:00 AM - Public Hearing ; 9/15/2015 10:00 AM - Public Hearing ; 2/17/2015 10:00 AM - Public Hearing
Assembly Committee for Review of Administrative Rules|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1419|2015 Assembly Committee for Review of Administrative Rules|Representative Ballweg||Representative Knudson; Representative Knudson|Bethany Anderson||Representative J. Ott; Representative Hebl; Representative Shankland||
Assembly Committee on Ways and Means|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1417|2015 Assembly Committee on Ways and Means|Representative Spiros||Representative Macco; Representative Macco||Brian Larson; Dan Schmidt|Representative Kerkman; Representative Novak; Representative Steffen; Representative Jacque; Representative Katsma; Representative Petersen; Representative Duchow; Representative Riemer; Representative Zepnick; Representative Ohnstad; Representative Brostoff||2/10/2016 11:31 AM - Executive Session (Revised); 2/10/2016 11:30 AM - Public Hearing (Revised); 2/3/2016 9:01 AM - Executive Session (Revised); 2/3/2016 9:00 AM - Public Hearing (Revised); 1/27/2016 12:01 PM - Executive Session (Revised); 1/27/2016 12:00 PM - Public Hearing ; 1/21/2016 9:31 AM - Executive Session ; 1/21/2016 9:30 AM - Public Hearing ; 1/7/2016 10:01 AM - Public Hearing (Revised); 1/7/2016 10:00 AM - Executive Session (Revised); 12/3/2015 10:01 AM - Executive Session ; 12/3/2015 10:00 AM - Public Hearing ; 10/22/2015 1:01 PM - Public Hearing (Revised); 10/22/2015 1:00 PM - Executive Session (Revised); 10/8/2015 1:01 PM - Public Hearing ; 10/8/2015 1:00 PM - Executive Session ; 9/24/2015 9:00 AM - Public Hearing ; 5/26/2015 10:00 AM - Public Hearing ; 5/14/2015 10:00 AM - Public Hearing ; 4/21/2015 1:00 PM - Executive Session ; 4/15/2015 11:00 AM - Public Hearing ; 4/7/2015 9:00 AM - Executive Session ; 3/31/2015 11:00 AM - Public Hearing
Assembly Committee on Transportation|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1415|2015 Assembly Committee on Transportation|Representative Ripp||Representative Spiros; Representative Spiros|Elisabeth Portz|Steven McCarthy; Michael Queensland|Representative Thiesfeldt; Representative Weatherston; Representative A. Ott; Representative Sanfelippo; Representative Vorpagel; Representative T. Larson; Representative Swearingen; Representative Macco; Representative Nygren; Representative Kahl; Representative Danou; Representative Kolste; Representative Bowen; Representative Meyers||12/6/2016 10:00 AM - Public Hearing ; 2/11/2016 9:00 AM - Executive Session ; 2/2/2016 12:01 PM - Public Hearing ; 2/2/2016 12:00 PM - Executive Session ; 12/8/2015 12:01 PM - Public Hearing ; 12/8/2015 12:00 PM - Executive Session ; 10/28/2015 11:00 AM - Public Hearing (Revised); 9/24/2015 9:00 AM - Executive Session ; 9/15/2015 10:01 AM - Executive Session ; 9/15/2015 10:00 AM - Public Hearing (Revised); 8/18/2015 12:01 PM - Committee Meeting ; 8/18/2015 12:00 PM - Public Hearing ; 7/7/2015 11:00 AM - Executive Session ; 5/26/2015 1:00 PM - Executive Session (Revised); 5/12/2015 1:00 PM - Public Hearing ; 4/7/2015 2:00 PM - Executive Session ; 3/31/2015 1:00 PM - Public Hearing (Revised); 3/18/2015 1:00 PM - Public Hearing (Cancelled); 3/3/2015 10:01 AM - Public Hearing ; 3/3/2015 10:00 AM - Executive Session ; 2/17/2015 1:02 PM - Public Hearing ; 2/17/2015 1:01 PM - Committee Meeting ; 2/17/2015 1:00 PM - Public Hearing ; 2/3/2015 1:00 PM - Public Hearing
Assembly Committee on Tourism|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1414|2015 Assembly Committee on Tourism|Representative Tranel||Representative Jarchow; Representative Jarchow|Jeff Curry|Rachel Snyder; Michael Queensland|Representative Mursau; Representative Tauchen; Representative Kleefisch; Representative Kitchens; Representative Born; Representative A. Ott; Representative Swearingen; Representative Ballweg; Representative Billings; Representative Doyle; Representative Ohnstad; Representative Mason; Representative Meyers||2/3/2016 12:00 PM - Executive Session ; 1/27/2016 1:01 PM - Public Hearing ; 1/27/2016 1:00 PM - Executive Session ; 1/13/2016 1:01 PM - Public Hearing ; 1/13/2016 1:00 PM - Executive Session ; 6/17/2015 1:00 PM - Public Hearing
Assembly Committee on Small Business Development|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1412|2015 Assembly Committee on Small Business Development|Representative Tauchen||Representative Edming; Representative Edming|Craig Arrowood|Rachel Letzing; Melissa Schmidt|Representative Tranel; Representative Hutton; Representative Allen; Representative Swearingen; Representative T. Larson; Representative Gannon; Representative VanderMeer; Representative Skowronski; Representative Jorgensen; Representative Sargent; Representative Doyle; Representative Barnes; Representative Bowen||2/11/2016 9:00 AM - Executive Session ; 1/20/2016 11:00 AM - Public Hearing ; 1/13/2016 2:00 PM - Executive Session ; 11/11/2015 10:00 AM - Public Hearing ; 10/21/2015 10:00 AM - Public Hearing (Cancelled)
Assembly Committee on State Affairs and Government Operations|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1413|2015 Assembly Committee on State Affairs and Government Operations|Representative Swearingen||Representative Craig; Representative Craig|Dan Perchinsky|Anna Henning; Melissa Schmidt|Representative Jagler; Representative Brandtjen; Representative Kleefisch; Representative Gannon; Representative Ripp; Representative Kulp; Representative Tauchen; Representative Vorpagel; Representative Sinicki; Representative Zamarripa; Representative Kahl; Representative Ohnstad; Representative Brostoff||2/16/2016 9:01 AM - Executive Session ; 2/16/2016 9:00 AM - Public Hearing ; 2/10/2016 10:01 AM - Executive Session (Revised); 2/10/2016 10:00 AM - Public Hearing ; 2/3/2016 12:31 PM - Executive Session (Revised); 2/3/2016 12:30 PM - Public Hearing (Revised); 1/27/2016 10:31 AM - Public Hearing ; 1/27/2016 10:30 AM - Executive Session (Revised); 1/20/2016 10:01 AM - Public Hearing (Revised); 1/20/2016 10:00 AM - Executive Session ; 1/13/2016 12:31 PM - Public Hearing ; 1/13/2016 12:30 PM - Executive Session ; 1/6/2016 1:01 PM - Public Hearing ; 1/6/2016 1:00 PM - Executive Session (Revised); 12/16/2015 1:00 PM - Public Hearing (Revised); 11/17/2015 1:00 PM - Executive Session ; 11/4/2015 1:00 PM - Public Hearing (Revised); 10/29/2015 1:00 PM - Executive Session (Revised); 10/28/2015 1:00 PM - Public Hearing ; 10/21/2015 8:30 AM - Executive Session ; 10/15/2015 9:31 AM - Public Hearing (Revised); 10/15/2015 9:30 AM - Executive Session (Revised); 9/30/2015 1:01 PM - Public Hearing ; 9/30/2015 1:00 PM - Executive Session ; 9/23/2015 1:01 PM - Public Hearing ; 9/23/2015 1:00 PM - Executive Session ; 9/16/2015 12:00 PM - Public Hearing (Revised); 8/24/2015 2:00 PM - Public Hearing ; 8/24/2015 10:00 AM - Public Hearing ; 6/16/2015 1:31 PM - Public Hearing ; 6/16/2015 1:30 PM - Executive Session ; 5/27/2015 10:00 AM - Public Hearing ; 5/6/2015 1:01 PM - Public Hearing ; 5/6/2015 1:00 PM - Executive Session ; 4/28/2015 11:31 AM - Public Hearing (Revised); 4/28/2015 11:30 AM - Executive Session ; 4/15/2015 1:00 PM - Public Hearing ; 4/8/2015 9:30 AM - Executive Session ; 4/2/2015 1:00 PM - Public Hearing (Revised); 3/12/2015 10:00 AM - Executive Session ; 3/10/2015 1:01 PM - Public Hearing ; 3/10/2015 1:00 PM - Executive Session ; 3/4/2015 10:00 AM - Public Hearing (Revised); 2/10/2015 11:00 AM - Executive Session ; 2/4/2015 1:00 PM - Public Hearing
Assembly Committee on Natural Resources and Sporting Heritage|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1411|2015 Assembly Committee on Natural Resources and Sporting Heritage|Representative A. Ott||Representative Quinn; Representative Quinn||Larry Konopacki; Anna Henning|Representative Kleefisch; Representative Mursau; Representative Nerison; Representative Ripp; Representative Born; Representative Tittl; Representative Skowronski; Representative Edming; Representative Milroy; Representative Danou; Representative Hesselbein; Representative Shankland; Representative Spreitzer||2/17/2016 12:30 PM - Executive Session (Cancelled); 2/3/2016 9:01 AM - Public Hearing ; 2/3/2016 9:00 AM - Executive Session ; 1/20/2016 11:01 AM - Public Hearing (Revised); 1/20/2016 11:00 AM - Executive Session ; 1/6/2016 10:01 AM - Public Hearing ; 1/6/2016 10:00 AM - Executive Session (Revised); 12/9/2015 11:01 AM - Public Hearing ; 12/9/2015 11:00 AM - Executive Session ; 11/17/2015 1:01 PM - Public Hearing ; 11/17/2015 1:00 PM - Executive Session ; 10/29/2015 10:30 AM - Executive Session ; 10/28/2015 9:01 AM - Public Hearing (Revised); 10/28/2015 9:00 AM - Executive Session ; 10/14/2015 11:31 AM - Executive Session (Revised); 10/14/2015 11:30 AM - Public Hearing (Revised); 7/22/2015 10:00 AM - Executive Session ; 6/10/2015 10:31 AM - Public Hearing ; 6/10/2015 10:30 AM - Executive Session ; 5/27/2015 10:31 AM - Public Hearing ; 5/27/2015 10:30 AM - Public Hearing ; 4/8/2015 1:00 PM - Executive Session (Revised); 4/1/2015 10:00 AM - Public Hearing
Assembly Committee on Judiciary|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1409|2015 Assembly Committee on Judiciary|Representative J. Ott||Representative Horlacher; Representative Horlacher|Virginia Mueller|Jessica Karls-Ruplinger; Jessica Ozalp|Representative Thiesfeldt; Representative Heaton; Representative T. Larson; Representative Kerkman; Representative Wachs; Representative Hebl; Representative Goyke||2/16/2016 9:30 AM - Executive Session (Revised); 2/11/2016 9:00 AM - Public Hearing ; 2/11/2016 8:45 AM - Executive Session (Revised); 2/4/2016 11:00 AM - Public Hearing ; 2/4/2016 10:59 AM - Executive Session (Revised); 1/28/2016 1:01 PM - Executive Session ; 1/28/2016 1:00 PM - Public Hearing (Revised); 1/21/2016 11:00 AM - Public Hearing (Cancelled); 1/14/2016 1:30 PM - Executive Session (Cancelled); 1/7/2016 11:01 AM - Public Hearing ; 1/7/2016 11:00 AM - Executive Session ; 12/17/2015 11:00 AM - Executive Session ; 12/17/2015 10:30 AM - Public Hearing ; 12/10/2015 11:00 AM - Public Hearing ; 11/12/2015 12:00 PM - Public Hearing (Revised); 10/29/2015 11:00 AM - Executive Session ; 10/15/2015 11:01 AM - Public Hearing ; 10/15/2015 11:00 AM - Executive Session ; 10/1/2015 11:01 AM - Public Hearing ; 10/1/2015 11:00 AM - Executive Session ; 9/17/2015 11:00 AM - Public Hearing (Revised); 8/20/2015 10:30 AM - Public Hearing ; 8/20/2015 9:00 AM - Executive Session ; 5/14/2015 10:00 AM - Public Hearing ; 5/7/2015 1:00 PM - Executive Session ; 4/30/2015 11:00 AM - Public Hearing (Revised); 4/9/2015 12:30 PM - Executive Session (Revised); 4/7/2015 1:00 PM - Public Hearing (Revised); 1/15/2015 11:00 AM - Executive Session ; 1/8/2015 11:00 AM - Public Hearing (Revised)
Assembly Committee on Labor|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1410|2015 Assembly Committee on Labor|Representative Jacque||Representative Spiros; Representative Spiros||Margit Kelley; Jessica Karls-Ruplinger|Representative Knodl; Representative Kulp; Representative Kuglitsch; Representative Sinicki; Representative Mason; Representative Ohnstad||2/10/2016 5:00 PM - Public Hearing ; 10/7/2015 2:00 PM - Executive Session ; 6/10/2015 1:00 PM - Public Hearing ; 5/27/2015 9:00 AM - Public Hearing ; 5/27/2015 9:00 AM - Executive Session ; 3/4/2015 4:30 PM - Executive Session ; 3/2/2015 10:00 AM - Public Hearing
Assembly Committee on Health|Assembly|http://docs.legis.wisconsin.gov/document/committee/2015/1406|2015 Assembly Committee on Health|Representative Sanfelippo||Representative Rohrkaste; Representative Rohrkaste|Joshua Hoisington|Mary Matthias; Steven McCarthy|Representative Edming; Representative Skowronski; Representative Kremer; Representative Tittl; Representative Petersen; Representative Kolste; Representative Zamarripa; Representative Riemer; Representative Subeck||2/10/2016 10:01 AM - Executive Session ; 2/10/2016 10:00 AM - Public Hearing ; 2/3/2016 10:01 AM - Public Hearing (Revised); 2/3/2016 10:00 AM - Executive Session (Revised); 1/13/2016 10:00 AM - Public Hearing (Revised); 12/16/2015 10:00 AM - Public Hearing ; 11/18/2015 10:00 AM - Public Hearing ; 10/22/2015 9:01 AM - Executive Session (Revised); 10/22/2015 9:00 AM - Public Hearing ; 10/21/2015 9:00 AM - Executive Session (Cancelled); 10/14/2015 9:00 AM - Public Hearing ; 9/15/2015 10:00 AM - Executive Session (Revised); 9/2/2015 9:00 AM - Public Hearing (Revised); 8/18/2015 9:00 AM - Public Hearing ; 6/3/2015 10:00 AM - Executive Session (Revised); 6/2/2015 10:00 AM - Public Hearing (Revised); 5/20/2015 9:30 AM - Public Hearing ; 3/17/2015 9:30 AM - Executive Session (Revised); 3/11/2015 11:01 AM - Public Hearing ; 3/11/2015 11:00 AM - Public Hearing
